Source,Type,Species,Time_min,N,Mean,Var,Fano,MeanStd,VarStd,FanoStd
T.V. + Sat.,Model,mRNA_{cyt},0,10000,46.5717,1012.66252536253,21.7441606246397,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},10,10000,47.5706,1033.38995463546,21.7232903229193,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},20,10000,54.0962,1145.22766832683,21.1702054548532,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},30,10000,66.1824,1410.05953619362,21.3056573378061,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},40,10000,80.9916,1797.94912435243,22.1992049095515,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},50,10000,96.1702,2257.6599979598,23.475671236618,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},60,10000,111.1444,2755.35968460846,24.7908098348496,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},75,10000,122.5911,3336.88718950892,27.2196528908617,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},90,10000,117.4061,3472.46042883288,29.5764907345775,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},120,10000,108.4493,3492.03603311331,32.1997102158641,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},150,10000,100.2719,3278.92266265627,32.7003144715146,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{cyt},180,10000,93.0186,3015.84843888389,32.4219934387734,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},0,10000,43.359,413.375656565656,9.53379129051998,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},10,10000,44.5302,423.889276887688,9.51914154635929,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},20,10000,53.2402,631.710875047521,11.8652986849696,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},30,10000,68.1431,1095.5965820482,16.0778799621415,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},40,10000,84.0575,1665.13570732073,19.8094840712694,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},50,10000,97.613,2160.98352935294,22.1382759402225,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},60,10000,108.1962,2533.06881244124,23.4118094021901,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},75,10000,117.5657,2773.01598510851,23.5869474269154,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},90,10000,121.4014,2862.47592563257,23.5786072123762,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},120,10000,118.4598,2613.81996595659,22.0650378099287,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},150,10000,107.3673,2130.66525723572,19.8446385187643,NaN,NaN,NaN
T.V. Only,Model,mRNA_{cyt},180,10000,92.3498,1636.51929188919,17.7208753228398,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},0,10000,40.1214,649.378599899988,16.1853424830636,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},10,10000,42.8239,684.781566946695,15.9906399684918,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},20,10000,54.6334,961.959800420042,17.6075404499819,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},30,10000,70.735,1429.07308230824,20.2031961872939,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},40,10000,85.6692,1867.27149850985,21.7962990025569,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},50,10000,97.2085,2173.13514126413,22.3554024726657,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},60,10000,105.2175,2362.80807455746,22.4564171792474,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},75,10000,112.1157,2469.84769827983,22.0294543786448,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},90,10000,114.2969,2491.84453484348,21.8015058574947,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},120,10000,111.7886,2369.33064310431,21.194742962201,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},150,10000,107.9002,2239.000339994,20.7506597762933,NaN,NaN,NaN
Sat. Only,Model,mRNA_{cyt},180,10000,103.3019,2165.87154354435,20.9664250468225,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},0,10000,43.0458,673.577260086008,15.6479205889078,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},10,10000,44.8061,698.985201310131,15.6002241058724,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},20,10000,55.6927,916.039270637064,16.4481030841935,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},30,10000,70.6694,1218.84278791879,17.2471081956093,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},40,10000,84.4346,1449.30605344535,17.1648359019329,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},50,10000,95.0911,1619.18991978196,17.027775678081,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},60,10000,102.4886,1753.5098210221,17.1093157777753,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},75,10000,108.8008,1842.76739609961,16.9370757944759,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},90,10000,111.122,1873.82269826983,16.8627517347585,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},120,10000,110.0854,1827.91009784978,16.6044734165456,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},150,10000,106.9168,1749.44522228223,16.3626784778653,NaN,NaN,NaN
First Order Decay,Model,mRNA_{cyt},180,10000,103.596,1774.51883588359,17.129221551832,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},0,10000,44.5831,938.042698659867,21.0403201809624,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},10,10000,45.6405,954.307290479046,20.9092207683756,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},20,10000,53.3244,1075.03586822682,20.160299379399,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},30,10000,67.0783,1400.94046315632,20.8851515789207,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},40,10000,82.3997,1832.92783269327,22.2443508009528,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},50,10000,95.762,2315.88374437444,24.1837445372323,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},60,10000,105.9568,2706.92622638264,25.5474516631556,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},75,10000,115.2874,3095.44134537454,26.849780161358,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},90,10000,117.9356,3214.33488612861,27.2550009168446,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},120,10000,112.8833,3018.59674078408,26.7408619413507,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},150,10000,104.2358,2659.62196055606,25.515436736285,NaN,NaN,NaN
Mechanistic TTP,Model,mRNA_{cyt},180,10000,95.4303,2315.90173208321,24.2679917393449,NaN,NaN,NaN
Experimental data,Data,mRNA_{cyt},0,861,45.9825783972125,960.609452585317,20.8907261416978,17.967696501096,241.889370013282,3.48796825027702
Experimental data,Data,mRNA_{cyt},10,240,47.625,830.026041666667,17.4283683289589,9.55068362844345,192.303822497588,3.17540813362528
Experimental data,Data,mRNA_{cyt},20,293,48.3139931740614,861.150555044322,17.8240401686908,8.20729104827415,281.299883551588,5.66963263833371
Experimental data,Data,mRNA_{cyt},30,307,64.2964169381108,1527.66132266655,23.7596649302716,19.154262143622,921.471426757365,8.8054633585795
Experimental data,Data,mRNA_{cyt},40,247,80.7570850202429,1820.03006113852,22.5370945556332,4.82237969179491,381.595691630629,5.86478775781982
Experimental data,Data,mRNA_{cyt},50,226,102.62389380531,2899.45588926306,28.2532242906675,13.3240045172554,687.798494795032,6.08840944989256
Experimental data,Data,mRNA_{cyt},60,322,112.568322981366,2927.49377917519,26.0063728555304,12.7407993155237,469.148892238455,1.57590618304843
Experimental data,Data,mRNA_{cyt},75,530,123.862264150943,3903.29612317551,31.5131985510841,19.6612936495035,978.780182386801,7.15211523592922
Experimental data,Data,mRNA_{cyt},90,313,118.006389776358,3860.3577866468,32.7131250601161,17.3579597246702,1137.84559980923,6.3983259275364
Experimental data,Data,mRNA_{cyt},120,308,112,2573.09090909091,22.974025974026,13.6689305871813,682.709968167553,5.62886631059946
Experimental data,Data,mRNA_{cyt},150,475,99.9810526315789,3530.13227257618,35.3080126650036,28.0739357750285,1936.09208108942,8.59507609604459
Experimental data,Data,mRNA_{cyt},180,355,96.7352112676056,1996.26228129339,20.6363562464446,7.80365657244993,288.130850070193,3.40258313906402
